name,title,coords
Озеро п. Воронеж,Парк,"-16.3877, -31.2113"
Bridge of West Alexander,Храм,"-62.5228, -100.4386"
Museum of Tiffanymouth,Парк,"-32.1111, 44.6652"
Museum of Ruizstad,Nature Reserve,"30.9417, -25.8137"
Гора клх Лагань,Достопримечательность,"-22.595, -70.8488"
Bridge of Brianland,Nature Reserve,"-36.0753, 103.7672"
Парк с. Магас,Парк,"-5.2041, -13.4032"
Castle of Port Robertchester,Пляж,"-58.9156, 48.7092"
Музей г. Нарткала,Public Park,"-10.5538, 49.3007"
Square of Roseland,Музей,"55.4011, 89.8885"
Площадь г. Соликамск,Historic Site,"-31.5612, -96.3216"
Museum of Ravenberg,Исторический район,"-2.9063, 125.3071"
Lake of East Ericashire,Beach,"-44.869, 1.0049"
Музей к. Дно,Парк,"35.5479, 140.2413"
Park of Patriciaberg,Beach,"-6.1377, -6.6615"
Гора г. Тихорецк,Горнолыжный курорт,"-37.7851, -90.1379"
Castle of Lambertfurt,Mountain Peak,"-7.3453, -101.7321"
Park of Whitestad,Горнолыжный курорт,"65.7059, 160.9013"
Гора д. Дзержинск,Historic Site,"-62.2668, 151.8972"
Lake of New Malikborough,Nature Reserve,"-57.8239, -158.7841"
Замок клх Сургут (Хант.),Nature Reserve,"-16.7028, -27.5082"
Площадь г. Тутаев,Горнолыжный курорт,"-56.1926, 162.6916"
Замок клх Агинское (Забайк.),Храм,"-57.7871, 117.1234"
Museum of Kellyland,Public Park,"-26.1075, 111.7799"
Museum of North Hayleymouth,Beach,"49.963, -163.3584"
Гора ст. Приозерск,Beach,"69.0102, -131.1"
Замок г. Бавлы,Парк,"17.8243, 93.0926"
Square of Whitemouth,Природный объект,"-52.9555, -41.7581"
Bridge of Robertsonmouth,Исторический район,"-46.0223, 65.4803"
Площадь с. Можайск,Museum,"-24.4779, -15.5555"
Озеро с. Красноселькуп,Горнолыжный курорт,"-48.3928, -101.181"
Замок ст. Билибино,Исторический район,"-3.5109, -156.3292"
Square of East Austin,Famous Intersection,"33.5453, 121.548"
Замок с. Салехард,Museum,"-37.7332, -121.4651"
Bridge of North Danielleburgh,Достопримечательность,"49.2007, 34.9504"
Castle of East Brianside,Mountain Peak,"-50.688, -126.0421"
Park of Lake Christinaberg,Природный объект,"-15.9378, 50.5686"
Museum of Sharonview,Достопримечательность,"-15.0887, -52.5472"
Гора д. Кемерово,Beach,"-29.0279, -111.1574"
Square of South Andrea,Museum,"60.2763, 143.6406"
Парк ст. Пышма,Mountain Peak,"2.4632, 24.7019"
Замок к. Уварово,Public Park,"57.621, -155.6725"
Площадь г. Горячий Ключ,Museum,"-1.5719, 42.4698"
Bridge of Lake Kelliberg,Historic Site,"46.9778, -16.9045"
Музей к. Орехово-Зуево,Nature Reserve,"33.0547, 71.8011"
Bridge of North Williamchester,Nature Reserve,"43.8007, 72.3584"
Museum of North Denise,Historic Site,"13.0543, 49.0668"
Lake of Mezatown,Горнолыжный курорт,"-26.7255, 54.4712"
Museum of West Scottburgh,Храм,"50.0204, -25.0902"
Гора с. Гусь-Хрустальный,Museum,"-48.2561, -14.2222"
Озеро п. Орел,Famous Intersection,"16.5984, 104.3081"
Lake of Lake Raymond,Исторический район,"39.1854, -65.7745"
Bridge of Larsontown,Достопримечательность,"-24.3583, 53.8236"
Bridge of Goodwinborough,Исторический район,"-49.0248, 87.6148"
Castle of Port Brittney,Храм,"-39.2315, 95.1135"
Park of Nathanview,Public Park,"23.5981, -85.763"
Lake of Mollyport,Historic Site,"-3.5913, -1.8678"
Bridge of Josephstad,Храм,"-30.4053, 155.5436"
Площадь ст. Ардон,Historic Site,"25.5739, 143.8609"
Парк с. Ардон,Храм,"-27.5942, -136.9936"
Park of North Kevin,Достопримечательность,"27.7392, 145.5478"
Park of Garciaview,Музей,"65.3822, 51.9869"
Музей ст. Буденновск,Museum,"34.2876, 144.9954"
Park of New Justin,Исторический район,"-52.0962, 66.2298"
Castle of Bennettside,Museum,"-31.7141, -141.3625"
Озеро к. Пушкино (Моск.),Museum,"-9.4678, 147.5691"
Museum of Olivertown,Парк,"-33.8655, 117.6031"
Озеро г. Балашиха,Nature Reserve,"44.6959, 143.7296"
Bridge of Rebeccaborough,Mountain Peak,"23.0539, -50.1871"
Park of East Douglas,Mountain Peak,"36.9792, -108.7905"
Гора д. Сочи,Landmark,"65.1585, 147.7859"
Castle of Nicholasside,Пляж,"-11.3529, -63.0785"
Парк с. Мончегорск,Museum,"30.0267, 116.2629"
Площадь к. Оленек,Пляж,"-50.0029, 42.1792"
Square of Jacobsbury,Nature Reserve,"11.9901, 134.8157"
Bridge of South Lindashire,Достопримечательность,"21.5052, 169.9058"
Castle of Lake James,Famous Intersection,"-30.454, 74.4136"
Площадь ст. Грозный,Храм,"-45.417, 123.6303"
Museum of Matthewsborough,Парк,"45.7788, -6.1041"
Замок к. Кемерово,Природный объект,"-62.3985, -117.8715"
Замок с. Соль-Илецк,Beach,"53.1844, -36.9654"
Площадь с. Оленегорск (Якут.),Beach,"8.8707, -163.9439"
Площадь клх Южно-Сахалинск,Исторический район,"-14.1962, -41.2727"
Square of Maryville,Храм,"-49.6855, 90.5406"
Парк с. Тамбов,Historic Site,"-63.311, -40.2101"
Парк с. Ростов,Храм,"-8.927, 57.6399"
Озеро к. Пенза,Historic Site,"-23.5855, 138.8446"
Park of Lake Mariahaven,Природный объект,"-12.1098, -14.8569"
Castle of North Matthewville,Музей,"-27.2438, 114.6815"
Площадь г. Мостовской,Исторический район,"58.4652, -12.3183"
Lake of Port John,Пляж,"-50.8953, 46.9916"
Замок п. Назрань,Музей,"-30.4502, -45.8636"
Park of South Angela,Музей,"3.6374, -162.5339"
Park of Leblancberg,Landmark,"32.0438, 41.5606"
Lake of Wrightshire,Горнолыжный курорт,"-45.8124, 25.2759"
Museum of South Anthony,Historic Site,"-53.5299, 15.7918"
Замок п. Орел,Пляж,"36.0035, 29.355"
Castle of Lake Nancyburgh,Пляж,"63.2623, -64.3577"
Park of West Jamesfort,Museum,"41.7729, 26.4648"
Museum of Jessicaland,Famous Intersection,"15.8709, 116.3768"
Square of South Patrick,Mountain Peak,"-42.6564, 165.0994"
Castle of New Kaylamouth,Достопримечательность,"-47.0523, -22.0112"
Museum of Cummingsside,Пляж,"-0.9222, 32.9458"
Озеро г. Ярославль,Музей,"-65.2596, 7.3064"
Замок г. Усинск,Храм,"21.774, 87.5783"
Lake of Port Richard,Nature Reserve,"-42.0434, -1.0745"
Castle of Port Amyport,Nature Reserve,"3.1728, 32.9415"
Square of East Carrieburgh,Горнолыжный курорт,"-7.1295, -44.5058"
Park of Lake Jonathan,Храм,"-35.0442, -40.5772"
Park of Anneview,Музей,"33.3445, -115.0651"
Castle of Lake Rebeccafort,Landmark,"54.8884, 29.1264"
Park of Eatonberg,Пляж,"58.5132, 55.2442"
Square of Jamesbury,Landmark,"-41.8267, -22.3728"
Парк п. Липецк,Public Park,"-7.8662, 65.5693"
Парк ст. Тутончаны,Пляж,"23.6028, 18.2605"
Park of East Kevinhaven,Достопримечательность,"-2.9137, -147.596"
Озеро г. Армавир,Nature Reserve,"29.92, 96.3825"
Bridge of Kennethberg,Парк,"63.3735, 69.5188"
Museum of Jamesstad,Famous Intersection,"3.7486, -155.5873"
Музей д. Рязань,Природный объект,"-24.875, -10.449"
Озеро с. Усолье Сибирское,Landmark,"-13.934, -82.5959"
Музей д. Черский,Пляж,"35.9209, 12.8451"
Парк клх Оса,Парк,"-61.6151, 140.7208"
Озеро ст. Серпухов,Горнолыжный курорт,"-31.1083, -48.3563"
Озеро г. Беслан,Beach,"-35.4383, 73.3437"
Square of Johnsonborough,Mountain Peak,"27.5991, -152.0683"
Castle of Port Rebecca,Famous Intersection,"-38.9064, 75.1283"
Bridge of Lake Sallybury,Парк,"32.3152, -159.6541"
Museum of Michaeltown,Famous Intersection,"49.8838, -95.3711"
Парк д. Боровск,Музей,"-47.1718, -69.0761"
Гора клх Уфа,Museum,"-45.8835, -121.7709"
Bridge of Vazquezchester,Музей,"-47.6526, -59.7312"
Lake of South Lesliebury,Пляж,"19.9611, 13.6955"
Lake of Danmouth,Горнолыжный курорт,"-23.5482, -40.5327"
Bridge of Matthewsfurt,Музей,"-16.7801, -53.0605"
Museum of Port Valeriehaven,Музей,"41.004, -88.0701"
Park of Lake Barbara,Достопримечательность,"-60.7687, -151.2567"
Museum of New Pamela,Museum,"67.5654, 92.5709"
Музей с. Пинега,Горнолыжный курорт,"-21.8982, -110.8453"
Озеро с. Самара,Famous Intersection,"57.5378, 114.3627"
Гора к. Салават,Historic Site,"1.7028, 30.8943"
Bridge of East Brianshire,Исторический район,"55.6591, 161.3509"
Castle of Lake Michaelshire,Landmark,"-56.8651, -14.9807"
Lake of New Jane,Museum,"-54.8553, -12.6018"
Bridge of Joshuachester,Mountain Peak,"-18.1639, 5.3661"
Lake of Grayland,Исторический район,"63.5155, -88.2253"
Озеро с. Октябрьское (Челяб.),Public Park,"49.258, 10.0671"
Гора к. Льгов,Landmark,"-50.5195, -144.688"
Парк с. Охотск,Храм,"18.4629, -94.368"
Lake of Parkerbury,Музей,"-53.3772, 129.2406"
Озеро с. Морозовск,Mountain Peak,"-49.3825, 101.2789"
Bridge of West Johnside,Достопримечательность,"-4.229, 89.8664"
Замок ст. Витим,Public Park,"32.5814, 45.4835"
Bridge of Port Robertmouth,Mountain Peak,"35.8027, 159.817"
Museum of East Tasha,Beach,"-54.1676, 7.3361"
Парк д. Черемхово,Музей,"-26.8502, 88.4041"
Park of Burtonburgh,Пляж,"45.3301, 61.3651"
Museum of Williamsview,Природный объект,"44.3737, -105.9697"
Bridge of Port Benjaminshire,Nature Reserve,"51.9923, -50.0361"
Park of Lake Joannmouth,Исторический район,"1.1388, -138.9177"
Музей д. Терскол,Museum,"-23.7142, -1.9728"
Площадь д. Усть-Калманка,Музей,"67.3096, 72.1499"
Гора с. Сосногорск,Landmark,"61.0229, -165.3045"
Гора п. Волоколамск,Landmark,"8.0194, -4.8856"
Гора д. Грозный,Горнолыжный курорт,"45.7451, 19.7201"
Castle of Kristinbury,Природный объект,"22.5027, -70.9834"
Музей д. Эльбрус,Landmark,"34.6546, 17.1198"
Музей к. Владикавказ,Храм,"-44.3152, 1.6116"
Замок п. Быково (метеост.),Исторический район,"-9.1636, -112.5637"
Музей ст. Усть-Кулом,Famous Intersection,"-7.8385, 2.7057"
Park of Lake Kristinmouth,Музей,"-21.6665, -7.0929"
Замок г. Невьянск,Famous Intersection,"33.3165, -2.2922"
Square of Rodriguezmouth,Public Park,"22.3481, 112.7031"
Bridge of New Anthony,Храм,"-59.1323, 114.9941"
Museum of Port Hannah,Исторический район,"63.2344, 112.0851"
Park of Fisherton,Museum,"5.2616, -61.0914"
Park of Carlaton,Historic Site,"-49.6517, 163.6507"
Castle of North Michael,Landmark,"48.8114, 66.5916"
Museum of Lake Gabrielaville,Достопримечательность,"-18.476, 160.4768"
Замок д. Жиганск,Landmark,"38.2856, -132.1489"
Площадь ст. Воронеж,Парк,"17.9982, 141.2303"
Museum of Stephaniestad,Парк,"-2.942, 129.023"
Square of Natalieberg,Historic Site,"-11.9585, 89.8073"
Замок ст. Сосновый Бор,Природный объект,"56.0545, 141.9829"
Bridge of Nicolemouth,Museum,"11.5177, -136.5124"
Гора клх Бавлы,Исторический район,"63.7011, -0.5599"
Square of Hoodberg,Исторический район,"18.186, -139.7467"
Парк клх Пермь,Historic Site,"30.1679, 92.7881"
Museum of Port Benjaminchester,Historic Site,"-23.7276, 58.1335"
Park of North Angela,Парк,"-13.9846, 105.6066"
Bridge of Campbellchester,Museum,"27.7424, -79.5211"
Museum of Johnsonchester,Исторический район,"-42.8741, 12.7593"
Lake of Stevensonshire,Famous Intersection,"38.7327, -100.581"
Park of Jonestown,Landmark,"-34.7224, 132.8578"
Музей п. Ногинск (Моск.),Пляж,"33.5849, 65.6256"
Музей клх Малоярославец,Парк,"-0.2207, 57.9168"
Bridge of Fisherborough,Пляж,"4.5086, -6.5287"
Castle of North Amyland,Mountain Peak,"-11.5431, 49.2568"
Замок клх Слюдянка,Public Park,"-56.5354, -165.9668"
Bridge of Matthewland,Пляж,"-44.5744, -21.9747"
Парк клх Минусинск,Храм,"-55.7201, -22.9686"
Lake of South Ashley,Пляж,"-45.0853, -12.3619"
Гора с. Тюмень,Mountain Peak,"-69.0725, -16.2881"
Гора к. Северо-Курильск,Природный объект,"-37.5626, 124.4216"
Museum of East Aaronview,Храм,"-65.8884, -158.2459"
Square of Kristopherville,Музей,"-2.2151, 67.8974"
Bridge of Justinhaven,Museum,"39.4725, 69.9693"
Парк с. Бугульма,Пляж,"45.3656, -65.2451"
Площадь п. Ставрополь,Исторический район,"62.4345, -72.1582"
"Озеро г. Москва, МГУ",Пляж,"16.3478, 54.8185"
Bridge of Tracyside,Beach,"-22.8971, -162.7762"
Гора г. Югорск,Landmark,"66.0891, 147.584"
Площадь г. Энгельс,Nature Reserve,"-5.7062, 63.6778"
Гора к. Сунтар,Достопримечательность,"44.5805, 1.6332"
Lake of North Marie,Пляж,"14.9758, -115.7353"
Bridge of West Josephbury,Mountain Peak,"-6.7335, -82.5043"
Гора ст. Североуральск,Mountain Peak,"-30.7937, 142.572"
Square of Edgarport,Исторический район,"24.9776, -152.6629"
Square of East Tara,Храм,"-67.2538, -133.7325"
Park of Amyton,Природный объект,"13.1646, 79.437"
Castle of West Rebecca,Горнолыжный курорт,"26.8426, 4.8487"
Озеро д. Пинега,Historic Site,"57.2585, 82.9257"
Castle of North Caroltown,Горнолыжный курорт,"20.6155, 34.6898"
Castle of North Alyssa,Historic Site,"60.0175, 71.6322"
Castle of New Jorgeberg,Парк,"48.5107, 62.8251"
Озеро г. Куртамыш,Достопримечательность,"2.069, 66.3773"
Парк клх Ирбит,Горнолыжный курорт,"36.4349, -81.2897"
Bridge of Lake Johnport,Famous Intersection,"55.722, -71.0687"
Озеро д. Октябрьское (Хант.),Исторический район,"58.6853, 92.503"
Музей с. Сухиничи,Парк,"-3.2583, -46.0947"
Museum of Kevinview,Парк,"2.2115, -164.307"
Парк к. Хасавюрт,Mountain Peak,"24.3823, 84.24"
Park of North Kellychester,Beach,"15.783, -95.9153"
Гора д. Черский,Landmark,"25.8956, -146.9146"
Площадь ст. Углегорск,Достопримечательность,"-0.3053, 28.6733"
Музей к. Мирный,Nature Reserve,"31.7637, -97.7946"
Lake of Michaeltown,Парк,"-65.4384, -152.5268"
Park of South Robert,Исторический район,"-29.9856, 168.5863"
Square of Charlesside,Парк,"35.9903, -157.6698"
Lake of Amandaside,Храм,"-52.5611, -99.6483"
Lake of Josephbury,Mountain Peak,"-4.8909, 69.271"
Park of New Maryshire,Природный объект,"57.8172, -33.0952"
Замок ст. Кандалакша,Public Park,"-36.4396, 76.3646"
Lake of North Paige,Природный объект,"32.1092, -95.4223"
Парк д. Плесецк,Museum,"-54.0012, 144.8093"
Lake of South Jessica,Famous Intersection,"3.2369, -137.2412"
Озеро к. Валдай,Горнолыжный курорт,"-47.1373, 53.0668"
Square of New Nichole,Парк,"-53.576, 2.7912"
Park of South Ashley,Горнолыжный курорт,"57.2583, -6.8995"
Bridge of Lake Jackborough,Museum,"-50.3785, 54.8084"
Castle of South John,Beach,"-32.1799, -69.7497"
Museum of New Jason,Beach,"21.6368, 15.1444"
Парк г. Троицко-Печорск,Historic Site,"-35.2479, -149.8844"
Замок п. Усмань,Museum,"-44.9128, 83.9014"
Museum of East Andrewside,Исторический район,"24.6034, -92.261"
Square of Port Michaelstad,Музей,"13.5667, 138.1015"
Озеро клх Шелагонцы,Historic Site,"-30.9728, -51.6546"
Lake of North Wendy,Природный объект,"-60.194, -62.4848"
Парк с. Бронницы,Mountain Peak,"-65.1725, 109.4886"
Castle of North Eric,Исторический район,"28.7709, -108.0591"
Museum of East Michaelstad,Mountain Peak,"-67.1477, -12.2184"
Гора ст. Шали,Public Park,"-49.4521, 109.6299"
Park of Teresastad,Исторический район,"-28.4331, 131.6662"
Гора клх Краснотурьинск,Beach,"5.058, 41.2117"
Музей с. Великие Луки,Достопримечательность,"-12.0533, -167.4686"
Park of Jonesburgh,Mountain Peak,"50.1069, -165.2219"
Museum of Carterchester,Beach,"52.0161, 102.9236"
Замок клх Кировск (Ленин.),Музей,"-59.7516, -67.3756"
Park of Michelleside,Достопримечательность,"-45.2556, -41.8045"
Castle of South Jeffrey,Горнолыжный курорт,"-36.9414, 166.0752"
Озеро г. Кировск (Ленин.),Исторический район,"-59.609, 70.4201"
Square of South Tyler,Mountain Peak,"34.1478, 50.4717"
Площадь п. Нижневартовск,Исторический район,"-23.0537, 159.0031"
Гора клх Арсеньев,Nature Reserve,"58.6161, 121.6059"
Парк г. Тверь,Famous Intersection,"-1.5827, -66.7805"
Парк г. Середниково,Nature Reserve,"50.8451, 146.151"
Площадь д. Юрьевец (Иван.),Nature Reserve,"-10.6806, -58.6"
Гора г. Асбест,Природный объект,"-20.3157, 136.207"
Lake of Lisamouth,Парк,"-22.0121, 125.7061"
Парк с. Чермоз,Museum,"8.0181, 145.8044"
Озеро п. Оленегорск (Якут.),Пляж,"66.8084, 68.1975"
Bridge of Parktown,Парк,"24.5555, 34.6132"
Castle of Markside,Горнолыжный курорт,"-60.249, -64.1561"
Замок с. Эльтон,Достопримечательность,"40.8401, -111.8221"
Square of New Charles,Достопримечательность,"-14.1024, -52.4649"
Castle of Millerstad,Historic Site,"45.5061, -63.3503"
Озеро с. Соболево,Исторический район,"66.2605, 44.71"
Museum of Martinfurt,Парк,"-13.6543, -0.298"
Замок г. Киржач,Музей,"-31.3428, 23.9446"
Парк с. Петропавловск-Камчатский,Historic Site,"26.9289, -93.7063"
Площадь д. Белогорск (Амур.),Museum,"-58.7052, -148.1977"
Square of Lake Lori,Museum,"-55.5695, 15.0187"
Озеро ст. Сосновый Бор,Beach,"-64.263, 120.6016"
Озеро ст. Самара,Nature Reserve,"37.4552, -32.123"
Park of West Travis,Храм,"69.0646, -7.9927"
Площадь с. Ямбург,Beach,"-29.1824, 98.5933"
Park of Mcdanielbury,Пляж,"-17.4377, 97.27"
Park of Port Clintonmouth,Достопримечательность,"-47.7482, 112.6655"
Музей д. Брянск,Museum,"-68.7509, 115.9269"
Замок клх Тихвин,Храм,"-20.8032, 161.2701"
Bridge of Richardberg,Nature Reserve,"8.8701, -5.8314"
Museum of Alvarezville,Historic Site,"-0.8935, 23.9305"
Площадь с. Магнитогорск,Храм,"-8.8672, 167.4828"
Парк к. Горно-Алтайск,Landmark,"-27.6126, -37.591"
Castle of East Jenniferfort,Public Park,"-27.3865, 97.6265"
Lake of Bakermouth,Museum,"35.0726, 114.869"
Lake of Jasonfurt,Historic Site,"-10.3206, 129.0139"
Парк г. Бирск,Museum,"47.6642, 133.0874"
Castle of Murillobury,Landmark,"3.0309, 131.1294"
Castle of Johnsonton,Public Park,"40.5918, 109.44"
Музей с. Мыс Шмидта,Historic Site,"2.7802, 70.847"
Площадь с. Лотошино,Mountain Peak,"-5.2672, -45.0453"
Озеро ст. Курган,Beach,"24.0946, -33.3775"
Площадь клх Шаховская,Пляж,"11.7191, 74.3688"
Park of Autumnbury,Горнолыжный курорт,"17.0133, 27.3269"
Парк клх Ясный (Оренб.),Landmark,"-67.5574, -48.8223"
Площадь клх Светлогорск (Калин.),Храм,"32.424, -20.9565"
Lake of West Ashleychester,Горнолыжный курорт,"-32.2714, -21.7779"
Озеро п. Мокшан,Парк,"-25.0837, 69.4264"
Castle of Andersontown,Исторический район,"22.4549, -60.0464"
Bridge of North Jimmyside,Достопримечательность,"-52.3665, -11.8332"
Castle of Dianehaven,Природный объект,"41.1719, 138.6681"
Озеро д. Талдом,Nature Reserve,"15.773, -110.6466"
Гора с. Тура,Historic Site,"-13.2613, 53.8602"
Площадь г. Амдерма,Public Park,"24.7306, -107.8885"
Square of Lake Alexander,Nature Reserve,"-39.8219, -86.6519"
Square of West Tammy,Historic Site,"-36.5489, 21.2851"
Lake of Christopherstad,Landmark,"20.2013, -77.8204"
Museum of Staceyfort,Landmark,"66.1844, 88.9752"
Парк клх Старый Оскол,Исторический район,"34.499, -113.3192"
Museum of Stokesview,Горнолыжный курорт,"46.7404, -102.6538"
Площадь д. Беломорск,Famous Intersection,"44.5274, 124.9648"
Castle of Sanchezshire,Пляж,"-5.3443, -142.3902"
Озеро п. Рославль,Музей,"-46.0419, 31.0295"
Парк г. Магнитогорск,Museum,"24.6889, 75.5428"
Замок г. Карачаевск,Горнолыжный курорт,"38.6461, 168.4689"
Castle of Vasquezville,Горнолыжный курорт,"-1.9411, -8.915"
Museum of South Nathanielborough,Nature Reserve,"37.6057, 59.196"
Museum of Lake Tracy,Beach,"-1.4232, -52.9329"
Lake of Williamsshire,Beach,"61.5501, -62.1378"
Гора д. Змеиногорск,Музей,"-59.7025, 160.4995"
Замок ст. Анадырь,Музей,"-23.5231, -83.4472"
Озеро с. Салехард,Beach,"53.4736, -60.3168"
Парк с. Ступино,Museum,"53.2322, -23.3368"
Гора г. Токма,Beach,"45.7545, -68.7576"
Гора д. Балашов,Nature Reserve,"22.3854, 156.4373"
Парк к. Пушкинские Горы,Музей,"-50.0566, -116.403"
Museum of Kaylamouth,Historic Site,"9.5547, 33.2786"
Замок клх Озеры,Mountain Peak,"-54.471, -105.8192"
Square of New Conniefort,Пляж,"-30.2606, -7.4552"
Гора клх Ардон,Historic Site,"28.4786, 78.1211"
Парк с. Сусуман,Famous Intersection,"27.6763, 157.4135"
Площадь д. Муром,Горнолыжный курорт,"-48.2598, 31.3951"
Museum of Farmermouth,Достопримечательность,"-42.9562, 146.8114"
Castle of Navarroberg,Исторический район,"-6.7588, -7.9109"
Bridge of Wilsonview,Храм,"28.4267, 142.1528"
Гора ст. Александров,Nature Reserve,"56.8567, 136.6074"
Lake of New Aaronburgh,Mountain Peak,"1.0995, 13.7831"
Square of North Tiffanyhaven,Горнолыжный курорт,"45.8268, -94.0142"
Lake of Smithfurt,Горнолыжный курорт,"30.947, -115.0685"
Музей клх Сковородино,Храм,"-56.0347, 122.8003"
Lake of Port Leslie,Beach,"45.3871, -146.3683"
Музей с. Кондопога,Historic Site,"48.6823, 25.8749"
Lake of Larryfurt,Горнолыжный курорт,"-33.6925, -1.4731"
Square of Bowmanside,Горнолыжный курорт,"-1.9526, 96.5188"
Парк г. Суздаль,Landmark,"47.1967, -126.3272"
Museum of Port Christophershire,Landmark,"47.7661, 70.8909"
Гора г. Певек,Mountain Peak,"-14.3861, 120.1035"
Парк к. Назрань,Пляж,"0.5539, 95.5515"
Гора д. Углегорск,Nature Reserve,"-62.2424, 18.0087"
Park of Weaverside,Beach,"-57.8312, 110.9413"
Lake of Samanthaview,Historic Site,"-33.3029, 88.3649"
Парк клх Мончегорск,Музей,"12.2109, -166.571"
Square of Williemouth,Музей,"21.3175, -98.0866"
Castle of Lake Helen,Храм,"-31.6893, -1.1584"
Музей с. Сузун,Famous Intersection,"-17.6046, 67.8321"
Park of Tracyshire,Museum,"-60.461, -30.7624"
Museum of Lake Thomas,Famous Intersection,"-69.7675, 122.7381"
Bridge of Michelleburgh,Достопримечательность,"39.9455, 123.3753"
Lake of East Rebeccaburgh,Beach,"11.6871, 50.0696"
Castle of Reyesport,Beach,"-49.2257, 141.3123"
Lake of West Melissafurt,Пляж,"-8.4178, -114.7559"
Bridge of North Brenda,Mountain Peak,"59.6717, 168.3073"
Музей с. Кудымкар,Beach,"-0.4516, 31.05"
Площадь п. Артем,Famous Intersection,"25.8207, -68.1955"
Museum of Tammyburgh,Landmark,"15.0602, 45.6967"
Square of Colonshire,Famous Intersection,"-41.2969, 65.8699"
Castle of Carmenside,Landmark,"-48.5692, -44.9124"
Bridge of Lake Marychester,Historic Site,"56.4205, -83.9694"
Озеро клх Кострома,Достопримечательность,"2.1905, -134.1352"
Замок к. Хабаровск,Храм,"26.573, -161.7863"
Парк клх Смоленск,Храм,"-12.1364, 162.748"
Музей ст. Терней,Горнолыжный курорт,"-6.4517, 64.3512"
Площадь клх Можайск,Beach,"-62.7569, 69.6095"
Square of Breannamouth,Mountain Peak,"60.3187, -101.628"
Park of North Dwayneville,Пляж,"-11.9589, -140.6689"
Museum of Wilkinsside,Famous Intersection,"18.0587, -41.4536"
Площадь с. Гремячинск (Перм.),Пляж,"18.8813, 148.5765"
Замок ст. Катав-Ивановск,Музей,"18.4349, -138.7741"
Гора ст. Петушки,Mountain Peak,"-55.1099, -127.353"
Замок д. Семлячики,Museum,"-10.8193, 118.7773"
Гора с. Можайск,Museum,"19.8357, 113.8197"
Square of Simpsonhaven,Mountain Peak,"-35.1349, 49.9857"
Музей г. Таганрог,Beach,"41.543, 159.9349"
Bridge of West Julieborough,Landmark,"25.5056, 166.5457"
Bridge of Port Mark,Museum,"38.1108, -79.2455"
Площадь г. Саранск,Природный объект,"68.3124, -1.3878"
Bridge of Taylorberg,Nature Reserve,"50.9828, 3.568"
Park of Lake Brianaside,Museum,"58.3537, 90.7776"
Castle of North Donna,Museum,"34.7088, 63.5661"
Park of Hodgeshaven,Исторический район,"51.7378, -30.0554"
Museum of Bowmanport,Mountain Peak,"-34.1574, -14.3955"
Square of South Donna,Исторический район,"23.5996, 164.2169"
Парк ст. Архангельск,Mountain Peak,"48.3565, -81.0945"
Castle of New Samantha,Historic Site,"-55.6269, 135.7081"
Park of Ivanland,Храм,"23.842, 141.923"
Museum of Dixonfurt,Historic Site,"-20.843, 75.9066"
Lake of Jonesbury,Nature Reserve,"39.4473, -91.7977"
Museum of East Heather,Музей,"41.656, -134.4684"
Castle of West Nicolebury,Famous Intersection,"9.2454, -41.5701"
Площадь с. Касимов,Храм,"-42.1159, -83.0309"
Парк п. Оленегорск (Якут.),Музей,"12.8877, 67.8765"
Озеро ст. Саров (Морд.),Landmark,"52.0956, 5.3823"
Square of Leestad,Храм,"-57.7938, -30.0721"
Castle of Hughesbury,Природный объект,"61.3932, -38.868"
Гора д. Новочеркасск,Nature Reserve,"56.4387, 97.7061"
Озеро ст. Енисейск,Museum,"-7.4575, -1.1377"
Square of Millershire,Nature Reserve,"0.5545, -22.5846"
Castle of Stewartmouth,Парк,"5.7918, -28.4262"
Bridge of West Michaelport,Храм,"-53.6577, 119.4837"
Bridge of East Melissa,Mountain Peak,"64.0349, -151.1624"
Замок п. Шарья,Famous Intersection,"-61.3516, 2.0677"
Музей клх Нижнеудинск,Mountain Peak,"-26.8781, -166.7973"
Озеро г. Люберцы,Historic Site,"-36.4849, -129.5776"
Bridge of East Shannonshire,Historic Site,"-20.9182, -44.3968"
Музей д. Гаврилов-Ям,Historic Site,"-14.7482, -55.3334"
Площадь г. Кандалакша,Museum,"9.1741, -31.3841"
Museum of Port Samanthastad,Mountain Peak,"-31.2239, -110.8539"
Square of Tonyaside,Famous Intersection,"55.6536, -106.6824"
Park of East Lisa,Пляж,"-10.1812, 1.1362"
Парк к. Йошкар-Ола,Public Park,"13.4155, -126.3405"
Музей к. Снежногорск (Мурм.),Музей,"68.7612, -84.7734"
Square of Robertstown,Горнолыжный курорт,"5.1555, 36.9193"
Castle of East Matthew,Famous Intersection,"21.1147, 37.9904"
Озеро с. Приморско-Ахтарск,Landmark,"-12.1289, 123.6896"
Замок ст. Камышлов,Пляж,"34.8032, -146.2806"
Lake of Lake Michael,Mountain Peak,"-54.8187, -2.584"
Museum of Brittanyburgh,Nature Reserve,"54.2734, 97.0531"
Park of Pattersonport,Достопримечательность,"-20.1072, 28.5831"
Lake of Henrymouth,Парк,"48.6193, 133.0417"
Castle of Johnsonborough,Исторический район,"-46.4558, -143.0076"
Castle of Kylebury,Храм,"-53.764, -113.6705"
Парк к. Карталы,Mountain Peak,"-51.2528, 149.6662"
Озеро клх Алапаевск,Famous Intersection,"35.2407, -168.3575"
